University Rating,SOP,KS,MTH,ENG,Score,Pass,Keep_PGE,Offer, Postgraduate_Recommendation,Straight2Doctorate,LOR,Research,Paper,CET4,CET6,CGPA,TOEFL,IELTS,GRE,DV2CL,DV2SL
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,534,486,3.95,NULL,NULL,NULL,NULL,NULL
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,450,451,NULL,NULL,NULL,NULL,NULL,NULL
2,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,368,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,4,1,105,72,356,0,0,NULL,NULL,NULL,NULL,1,0,488,NULL,2.73,NULL,NULL,NULL,83,6
3,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,447,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,580,458,3.4,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,1,500,440,3.5,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,4,1,0,589,590,3.32,NULL,NULL,NULL,NULL,NULL
3,3,1,102,70,313,1,NULL,NULL,NULL,NULL,NULL,1,0,479,NULL,2.9,NULL,NULL,NULL,41,34
3,3,1,100,71,331,1,NULL,NULL,NULL,NULL,NULL,0,0,390,0,2.97,NULL,NULL,NULL,58,42
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,600,600,3.6,NULL,NULL,NULL,NULL,NULL
5,3,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,0,604,473,4,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,470,470,2.8,NULL,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,428,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,550,552,3.6,NULL,NULL,NULL,NULL,NULL
3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,430,429,NULL,NULL,NULL,NULL,NULL,NULL
5,3,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,0,654,647,3.28,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,487,NULL,3.31,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,77,359,1,NULL,NULL,NULL,NULL,NULL,0,0,489,577,NULL,NULL,NULL,NULL,44,4
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,425,NULL,3,NULL,NULL,NULL,NULL,NULL
2,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,0,0,389,0,2.5,NULL,NULL,NULL,NULL,NULL
3,5,1,71,52,299,0,0,NULL,NULL,NULL,NULL,1,1,495,NULL,3.4,NULL,NULL,NULL,26,-27
3,3,1,99,63,330,0,0,NULL,NULL,NULL,NULL,0,0,445,0,3.5,NULL,NULL,NULL,57,-10
3,5,1,109,59,313,0,1,NULL,NULL,NULL,NULL,1,0,492,NULL,2.536,NULL,NULL,NULL,40,40
3,3,1,82,58,318,1,NULL,NULL,NULL,NULL,NULL,1,0,545,438,3.65,NULL,NULL,NULL,45,-19
3,4,1,83,52,299,1,NULL,NULL,NULL,NULL,NULL,1,1,411,0,2.88,NULL,NULL,NULL,0,-32
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,586,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,5,1,86,69,316,1,NULL,NULL,NULL,NULL,NULL,1,1,482,430,3.36,NULL,NULL,NULL,53,-24
3,5,1,89,41,303,1,NULL,NULL,NULL,NULL,NULL,0,0,434,390,3.06,NULL,NULL,NULL,40,-29
