Serial No.	University Rating	SOP	WSD	WPR	WSA	WWORK	WPGE	Way	PGE	CL	Math_Included	English_Included	MTH	ENG	Score	SL	Pass	Keep_PGE	Offer	 Postgraduate_Recommendation	Straight2Doctorate	LOR	Research	Paper	CET4	CET6	CGPA	TOEFL	IELTS	GRE	DV2CL	DV2SL	1	直博
86	3	5	考研					考研	1	273	1	1	77	74	334	384	0	1	NULL	NULL	NULL	NULL	0	0	512	451	3.3	NULL	NULL	NULL	61	-50		
87	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	474	431	3.3	NULL	NULL	NULL	#VALUE!	#VALUE!		
88	5	5	考研					考研	1	273	1	1	146	76	416	399	1	NULL	NULL	NULL	NULL	NULL	1	1	620	576	3.4	NULL	NULL	NULL	143	17		
89	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	1	1	470	440	3	55	NULL	NULL	#VALUE!	#VALUE!		
90	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	1	1	544	NULL	3.36	NULL	NULL	NULL	#VALUE!	#VALUE!		
91	3	5	考研					考研	1	290	0	1	NULL	65	292	355	0	1	NULL	NULL	NULL	NULL	1	0	475	NULL	NULL	NULL	NULL	NULL	2	-63		
92	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	5	1	0	590	NULL	3.56	NULL	7	NULL	#VALUE!	#VALUE!		
93	5	5	考研					考研	1	273	1	1	100	62	340	340	0	1	NULL	NULL	NULL	NULL	0	0	450	NULL	2.8	NULL	NULL	NULL	67	0		
94	4	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	448	428	3.3	NULL	NULL	NULL	#VALUE!	#VALUE!		
95	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	426	0	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
96	3	4	考研					考研	1	272	1	1	89	65	323	355	0	0	NULL	NULL	NULL	NULL	0	0	450	0	2.64	NULL	NULL	NULL	51	-32		
97	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	481	471	3.69	NULL	NULL	NULL	#VALUE!	#VALUE!		
98	3	4	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	1	517	434	NULL	NULL	NULL	NULL	#VALUE!	#VALUE!		
99	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	0	0	594	NULL	3.32	NULL	NULL	NULL	#VALUE!	#VALUE!		
100	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	580	520	3.44	NULL	NULL	NULL	#VALUE!	#VALUE!		
101	5	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	418	NULL	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
102	3	4	考研					考研	1	360	1	1	126	87	392	390	1	NULL	NULL	NULL	NULL	NULL	1	0	566	577	3.4	NULL	NULL	NULL	32	2		
103	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	0	534	505	3.04	NULL	6.5	NULL	#VALUE!	#VALUE!		
104	5	5	考研					考研	1	310	1	1	140	70	390	350	1	NULL	NULL	NULL	NULL	NULL	1	1	470	440	3	55	NULL	NULL	80	40		
105	3	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	436	NULL	3.6	NULL	NULL	NULL	#VALUE!	#VALUE!		
106	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	421	NULL	3.2	NULL	NULL	NULL	#VALUE!	#VALUE!		
107	5	4	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	1	1	0	610	NULL	3.9	NULL	NULL	NULL	#VALUE!	#VALUE!		
108	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	4	1	1	535	525	3.32	NULL	6.5	NULL	#VALUE!	#VALUE!		
109	5	5	直博					直博	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	1	1	520	516	3.52	NULL	NULL	NULL	#VALUE!	#VALUE!		
110	5	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	1	611	548	3.4292	NULL	NULL	NULL	#VALUE!	#VALUE!		
111	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	4	1	1	525	NULL	3.504	104	NULL	328	#VALUE!	#VALUE!		
